Auteur;Identifiant auteur;Titre;Directeur de these;Directeur de these (nom prenom);Identifiant directeur;Etablissement de soutenance;Identifiant etablissement;Discipline;Statut;Date de premiere inscription en doctorat;Date de soutenance;Langue de la these;Identifiant de la these;Accessible en ligne;Publication dans theses.fr;Mise a jour dans theses.fr
Odile Martin (Muller);;L'impact du web 2.0 sur le capital marque et la relation marque - consommateurs;Claire Gauzente-juguet;Gauzente-juguet Claire;;Angers;26402920;Sciences de gestion;enCours;01-10-2009;;;s50198;non;26-09-2011;22-01-2015
Misrinah Misban;;The filipino immigrants in sabah, malaysia : between humanitarian issues and a threat to national security;Gilles Lhuilier;Lhuilier Gilles;67822789;Lorient;05017746X;Sciences de gestion;enCours;16-09-2008;;;s50201;non;26-09-2011;22-01-2015
Jeremie Maire;;L'histoire du mouvement punk en europe centrale.;Didier Francfort;Francfort Didier;31096581;Universite de Lorraine;157040569;Histoire;enCours;18-12-2008;;;s48917;non;26-09-2011;28-06-2013
Maroua Marnissi;;La contribution de la cooperation client-fournisseur a la gestion des riques achats.;Thierry Sauvage,Nicolas Antheaume;Sauvage Thierry,Antheaume Nicolas;,;Nantes;26403447;Sciences de gestion;enCours;01-10-2008;29-10-2015;;s48941;non;26-09-2011;04-04-2016
Mariana Dahan (Medvetchi);;Assouvir la soif pour l'innovation : Modelisation de la diffusion des technologies mobiles;Pierre-l. Dubois;Dubois Pierre-l.;;Paris 2;26403145;Sciences economiques;enCours;20-01-2009;05-10-2011;;s48954;non;26-09-2011;16-01-2012
Yasser Madwa;;Analyse du projet urbain, strategique et operationnel,en cyrenaique le cas de la ville libyenne d'el beida.;Didier Boutet;Boutet Didier;31162789;Tours;26404478;Droit public;enCours;08-01-2009;22-10-2012;;s48956;non;26-09-2011;21-12-2012
. Meloughe menie;;La violence dans les recits de l'afrique francophone;Guy Dugas;Dugas Guy;;Montpellier 3;26404702;Litteratures francaise et francophone;enCours;06-10-2010;;;s50634;non;26-09-2011;06-04-2012
Hassan Mahamat nasser;;Les lois petrolieres en afrique centrale, dispositions environnementales : efficacite et harmonisation.;Raphael Romi;Romi Raphael;30251699;Nantes;26403447;Droit public;enCours;01-01-2011;11-05-2015;;s50648;non;26-09-2011;04-04-2016
Francoise Mouchel-Borghero;;Organismes hlm et collectivites territoriales en pays de loire.;Jean-Marc Le Masson;Le Masson Jean-Marc;69400814;Nantes;26403447;Droit prive;enCours;01-10-2008;16-05-2014;;s49347;non;26-09-2011;05-04-2016
Philippe Martin-noureux;;La cooperation entre les enseignants et les educateurs specialises. Une culture en commun pour la scolarisation des enfants en situation de handicap;Charles Gardou;Gardou Charles;31119425;Lyon 2;02640334X;Sciences de l'education;enCours;20-05-2009;16-06-2014;;s49360;non;26-09-2011;04-04-2016
Vincent Nadan;;Le statut de l'acte legislatif dans le droit public francais.;Roland Ricci;Ricci Roland;34653627;Brest;26403021;Droit public;enCours;01-10-2005;05-11-2009;;s51077;non;26-09-2011;24-02-2012
Dimitrie Ndjebi;;Enjeux strategiques et organisationnels de la presence de banques cotees au sein des groupes cooperatifs.;Mireille Jacger;Jacger Mireille;;Universite de Lorraine;157040569;Sciences de gestion;enCours;01-11-2005;;;s51096;non;26-09-2011;28-06-2013
Tariq Nahri;;Impact des dynamiques des systemes agraires sur la construction territoriale et la territorialite.;Jean-Paul Bord;Bord Jean-Paul;28291425;Montpellier 3;26404702;Geographie;enCours;06-11-2007;;;s51550;non;26-09-2011;05-04-2016
Maria olga Novo;;Luz pozo garza : eros triomphant dans des temps obscurs;Remi Le marc'hadour;Le marc'hadour Remi;;Lorient;05017746X;Etudes hispaniques;enCours;03-06-2008;;;s51579;non;26-09-2011;22-01-2015
Fanny Nusbaum;;La douleur chronique, un probleme de sante publique : l'hypnose comme modele de restauration de l'endocongruence;Jacques Gaucher;Gaucher Jacques;;Lyon 2;02640334X;Psychologie;enCours;20-11-2005;15-11-2008;;s51599;non;26-09-2011;30-03-2016
Marie-michele Nassiet;;Les besoins en formation professionnelle;Frederique Lerbet-Sereni;Lerbet-Sereni Frederique;33846936;Pau;26403668;Sciences de l'education;enCours;14-11-2008;;;s51624;non;26-09-2011;05-04-2016
Gwladys Ngari;;Le mandat en droit financier;Sebastien Neuville;Neuville Sebastien;;Toulouse 1;26404354;Droit prive;enCours;01-10-2008;;;s51635;non;26-09-2011;22-01-2015
Linda Peretti;;Le fascisme et ses drames a travers les oeuvres de carlo levi, ignazio silone et giorgio bassani.;Jacques Thiers;Thiers Jacques;29734258;Corte;29473284;Etudes italiennes;enCours;01-12-2005;;;s53327;non;26-09-2011;22-01-2015
Jessy Puel;;Le rock dans le roman americain.;Francis Beretti;Beretti Francis;26720094;Corte;29473284;Etudes nord-americaines;enCours;01-11-2005;;;s53330;non;26-09-2011;22-01-2015
Maxime Perry;;Les difficultes liees a l'emergence d'une justice internationale nord-sud. l'exemple de la repartition initiale des permis d'emission transferables dans le cas des negociations internationales sur le climat.;Jean-Paul Marechal;Marechal Jean-Paul;30863945;Rennes 2;54447658;Sciences economiques;enCours;01-10-2005;;;s53334;non;26-09-2011;05-04-2016
Roger Pyrka;;Socio anthropologie du comportement routier a risque chez les 18-25 ans.;Armel Huet;Huet Armel;26927144;Rennes 1;02778715X;Sociologie;enCours;01-10-2005;;;s53338;non;26-09-2011;22-01-2015
Eliette Marine;;Voix de femmes et representation de la femme : enjeu du feminin dans la lyrique des troubadours;Jean-Pierre Barraque;Barraque Jean-Pierre;05029346X;Pau;26403668;Histoire;enCours;21-10-2010;;;s50228;non;26-09-2011;05-04-2016
Maguy Meta mbombo;;Le conjoint du chef d'entreprise;Deen Gibirila;Gibirila Deen;33883238;Toulouse 1;26404354;Droit prive;enCours;27-10-2010;;;s50235;non;26-09-2011;22-01-2015
Adel M Nedja;;Dialogue social : quels acteurs , quels instruments , quelle methode et quel avenir ?;Jean-Claude Javillier;Javillier Jean-Claude;26936410;Paris 2;26403145;Droit social;enCours;19-11-2010;;;s50271;non;26-09-2011;04-04-2016
Stephane Moreno;;Confidences et correspondances du verbe dans l'uvre poetique de Jaime Gil de Biedma;Christian Lagarde,Annick Allaigre-Duny;Lagarde Christian,Allaigre-Duny Annick;29466539,0347644;Perpignan;26403692;Etudes iberiques et latino-americaines;enCours;15-10-2010;05-10-2012;;s50294;non;26-09-2011;11-10-2012
Nicol Nehme;;L'execution des decisions des juridictions penales internationales;Philippe Lagrange;Lagrange Philippe;;Poitiers;26403765;Droit public;enCours;08-10-2009;;;s51986;non;26-09-2011;04-05-2012
Carmen Ochea;;L'identite, entre temporalites, corps, langage et institution.;Jean-Bernard Paturet;Paturet Jean-Bernard;30075017;Montpellier 3;26404702;Psychologie;enCours;05-11-2006;;;s52423;non;26-09-2011;04-04-2016
Said Nouamani;;Strategies d'internationalisation et attractivite territtoriale : quels rapports ?;Mohamed Benlahcen tlemcani;Benlahcen tlemcani Mohamed;;Pau;26403668;Sciences economiques;enCours;01-01-2006;;;s51099;non;26-09-2011;22-01-2015
Thi thanh huyen Nguyen;;Etude comparative de la presse francaise et vietnamienne. une approche sociolinguistique et structurale.;Francis Manzano;Manzano Francis;;Rennes 2;54447658;Sciences du langage;enCours;01-10-2005;;;s51123;non;26-09-2011;22-01-2015
Thithuma Ngo;;Argumentation et didactique du fle pour un public vietnamien.;Christian Plantin;Plantin Christian;30130913;Lyon 2;02640334X;Sciences du langage;enCours;01-12-2005;30-06-2011;;s51124;non;26-09-2011;30-03-2016
Josiane Ntsadi massika;;La place du service public au sein du marche unique de l'energie;Renan Le Mestre;Le Mestre Renan;59152729;Poitiers;26403765;Droit public;enCours;01-02-2006;02-02-2011;;s51134;non;26-09-2011;05-04-2016
Anne marie Naboulet;;Le droit des morts face au droit des vivants. autour de la notion de respect du aux defunts.;Jean-Arnaud Mazeres;Mazeres Jean-Arnaud;32631839;Toulouse 1;26404354;Droit public;enCours;01-11-2005;;;s51138;non;26-09-2011;04-04-2016
Kevin Ndjimba;;La question des rapports entre l'ordre juridique international et l'ordre juridique interne face au phenomene contemporain d'internationalisation des constitutions etatiques.;Jean-Denis Mouton;Mouton Jean-Denis;33024847;Montpellier 3;26404702;Droit public;enCours;01-10-2005;;;s51142;non;26-09-2011;04-04-2016
Denis Nortier;;Essai sur la definition de la securite sanitaire;Marcel Sousse;Sousse Marcel;33615993;Perpignan;26403692;Droit public;enCours;01-02-2006;18-11-2011;;s51143;non;26-09-2011;02-12-2011
Matar Ndiaye;;L'emigration africaine. profil, motivation et statut des migrants. l'exemple des senegalais du baol.;Sylvie Brunel;Brunel Sylvie;;Montpellier 3;26404702;Geographie;enCours;01-11-2005;;;s51153;non;26-09-2011;22-01-2015
Normurod Norkulov;;La laicite, l'islam et l'islamisme en ouzbekistan. une modernite politique de l'echec reel sur le plan ideologico-religieux.;Antoine Roger;Roger Antoine;;Toulouse 1;26404354;Science politique;enCours;01-12-2005;;;s51169;non;26-09-2011;22-01-2015
Curtys Alvain Ntsiete Nganga;;Le renforcement des mecanismes de protection des droits de l'homme : le conseil des droits de l'homme;Rahim Kherad;Kherad Rahim;88373061;Poitiers;26403765;Droit public;enCours;01-02-2006;;;s51170;non;26-09-2011;03-05-2012
Ida Ossoungou ngadi;;La legislation forestiere du gabon et ses implications sous regionales : bilan et reformes;Michel Lagarde;Lagarde Michel;;Pau;26403668;Droit public;enCours;07-12-2010;;;s52875;non;26-09-2011;22-01-2015
Sebastien Sales;;Le contrat de commission de transport;Christophe Paulin;Paulin Christophe;;Toulouse 1;26404354;Droit prive;enCours;01-10-2009;;;s60157;non;26-09-2011;22-01-2015
Corinne Semami;;Le cession frauduleuse de creance;Corinne Mascala;Mascala Corinne;34342389;Toulouse 1;26404354;Droit prive;enCours;01-10-2009;;;s60158;non;26-09-2011;22-01-2015
David Thibault;;Modelisation et simulation dynamique de la locomotion pathologique de type obese;Paul Delamarche;Delamarche Paul;;Rennes 2;54447658;Sciences du sport (staps);enCours;10-11-2006;;;s61759;non;26-09-2011;22-01-2015
Sepideh Vistamehr;;L'effet de l'enseignement socio emotionnel et culturel lie a la langue seconde sur l'apprentissage de cette langue;Denis Brouillet;Brouillet Denis;03546416X;Montpellier 3;26404702;Psychologie;enCours;12-02-2008;;;s63768;non;26-09-2011;09-04-2013
Na Wei;;Role des valeurs propres pour quelques problemes elliptiques;Jacqueline Fleckinger;Fleckinger Jacqueline;70372993;Toulouse 1;26404354;Mathematiques et informatique appliquees aux sciences sociales (miass);enCours;25-09-2009;;;s64807;non;26-09-2011;22-01-2015
Lijuan Wang;;Les politiques scolaires francaise et chinoise au defi de l'ethnicite.;Claude Carpentier;Carpentier Claude;;Amiens;26403714;Sciences de l'education;enCours;18-11-2010;;;s64873;non;26-09-2011;22-01-2015
Maria carmen Soria martin;;La qualite de vie chez l'enfant avec epilepsie : influence de facteurs medicaux et cognitifs;Georges Dellatolas;Dellatolas Georges;127108068;Paris 5;26404788;Psychologie;enCours;07-01-2008;19-12-2008;;s59241;non;26-09-2011;02-07-2012
Behzad Saedi bonab;;Les aspects juridiques de l'adhesion de l'iran a l'omc;Symeon Karagiannis;Karagiannis Symeon;87767341;Strasbourg;131056549;Droit international;enCours;12-10-2010;04-01-2010;;s60888;non;26-09-2011;04-04-2016
Graziella Teaqron;;Contribution a l'etude de gisements de roches marbrieres utilisees en gaule romaine.;Nadine Dieudonne-gad;Dieudonne-gad Nadine;;Poitiers;26403765;Histoire de l'art;enCours;01-09-2005;;;s61368;non;26-09-2011;22-01-2015
Sandra Temple-boyer;;Communiquer pour assurer le passage d'une institution pedagogique d'une forme classique d'enseignement a un usae preponderant des technologies info com.;Alex Mucchielli;Mucchielli Alex;27041794;Montpellier 3;26404702;Sciences de l'information et de la communication;enCours;01-09-2005;;;s61383;non;26-09-2011;22-01-2015
Sebastien Rossignol;;Centres pre-urbains dans l'empire et regions avoisinantes (ixeme-xieme siecles);Stephane Lebecq,Hedwig Rockelein;Lebecq Stephane,Rockelein Hedwig;28271491,0669441;Lille 3;26404524;Histoire;enCours;01-10-2004;18-07-2008;;s56135;non;26-09-2011;05-04-2016
Catherine Ramon;;Engagement litteraire et politique des 'enfants de la transition'.;Florence Belmonte;Belmonte Florence;;Montpellier 3;26404702;Etudes hispaniques;enCours;08-11-2006;;;s56138;non;26-09-2011;22-01-2015
Celine Roque;;L'oeil de Vespucci. Regard epistolaire et construction d'un Nouveau Monde;Sandro Landi;Landi Sandro;;Bordeaux 3;27548392;Etudes italiennes;enCours;17-11-2006;06-12-2014;;s56187;non;26-09-2011;15-01-2015
Abdelfettah Rouimel;;La socialisation primaire des enfants francais d'origine maghrebine, l'exemple des collegiens de la ville de Perpignan;Ahmed Bennaoum;Bennaoum Ahmed;;Perpignan;26403692;Sociologie;enCours;04-01-2007;21-11-2011;;s56202;non;26-09-2011;02-12-2011
Berangere Rousselot-pailley;;Autisme et Famille : Etude des endophenotypes au sein de familles d'enfants autistes;Bernard Golse;Golse Bernard;;Paris 5;26404788;Psychologie;enCours;01-10-2006;07-12-2010;;s56205;non;26-09-2011;10-01-2012
Alice Rigollet;;Patrimoine industriel et photographie : enjeux et formes d'une representation (france, 1945-2000).;Jean-yves Andrieux;Andrieux Jean-yves;;Rennes 2;54447658;Histoire de l'art;enCours;08-11-2007;;;s56577;non;26-09-2011;22-01-2015
Abdelhamid Rahmani;;Le processus d'integration en amerique de sud le cas de l'unasur ses ambitions, ses limites;Danielle Cabanis;Cabanis Danielle;;Toulouse 1;26404354;Histoire du droit et des institutions;enCours;10-09-2007;;;s56599;non;26-09-2011;22-01-2015
Jery Randrianasolo;;Modelisation economique des interactions entre systemes de culture et d'elevage a l'echelle des exploitations et des territoires (reunion et madagascar);Dominique Lepelley;Lepelley Dominique;;La Reunion;26404451;Sciences economiques;enCours;15-02-2008;26-11-2012;;s56629;non;26-09-2011;04-04-2016
Patricia Perez (Raquiman);;En ecoutant leurs paroles : le changement des pratiques pedagogiques des enseignants. une approche a partir des recits de vie professionnelle.;Jacques Wallet,Ruby Vizcarra;Wallet Jacques,Vizcarra Ruby;,;Rouen;26403919;Sciences de l'education;enCours;03-03-2008;14-03-2013;;s56650;non;26-09-2011;26-11-2015
Celine Riquois;;Etude longitudinale des strategies d'adaptation en milieu carceral : la place du corps et le rapport a l'espace des detenus en maison d'arret et le centre de detention.;Dominique Lhuilier,Jean-Luc Viaux;Lhuilier Dominique,Viaux Jean-Luc;0,034271708;Rouen;26403919;Psychologie;enCours;03-03-2008;19-03-2013;;s56651;non;26-09-2011;05-04-2016
Thierry harivony Rakotonandrasana;;Imaginaire des victimes de la discrimination dans le monde du travail;Martine Xiberras;Xiberras Martine;29730708;Montpellier 3;26404702;Sociologie;enCours;22-10-2007;;;s56657;non;26-09-2011;22-01-2015
Moumouni Zoungrana;;Litterature orale et education au Burkina Faso : la contribution des textes oraux a la formation des ecoliers du primaire ( cas des textes oraux)ecoliers du primaire.;Sie Kam,Paul Cappeau;Kam Sie,Cappeau Paul;0,0887328;Poitiers;26403765;Sciences du langage;enCours;21-01-2011;22-12-2012;;s65992;non;26-09-2011;30-01-2013
Zolinisainana Rahonimandroso;;Protection des etrangers dans la jurisprudence de la cour europeenne des droits de l'homme;Joel Andriantsimbazovina;Andriantsimbazovina Joel;03565466X;La Rochelle;35375043;Droit public;enCours;23-02-2010;;;s57471;non;26-09-2011;05-04-2016
Yannig Robin;;Performances des organisations de l'economie sociale.quelles singularites, quelles plus-values ? cas des lieux d'accueil collectif du jeune enfant;Alain Penven;Penven Alain;35382651;Brest;26403021;Sociologie;enCours;15-01-2010;;;s57479;non;26-09-2011;05-04-2016
Chloe Renault;;The Antecedents to Solutions Success;Frederic Dalsace,Wolfgang Ulaga;Dalsace Frederic,Ulaga Wolfgang;77341694,1493086;Jouy-en Josas, HEC;27321118;Sciences de gestion;enCours;28-07-2010;03-12-2012;;s57509;non;26-09-2011;06-12-2012
Stephane Richard;;Etude des troubles de l'inhinibition cognitive chez le sujet age deprime suicidant;Didier Le gall;Le gall Didier;;Angers;26402920;Psychologie;enCours;01-10-2009;;;s57517;non;26-09-2011;22-01-2015
Romain Richard battesti;;Insularite et roman policier moderne, les influences de la mondialisation sur la traduction litteraire.;Jacques Isolery;Isolery Jacques;12043542X;Corte;29473284;Litteratures francaise et francophone;enCours;13-10-2010;;;s57544;non;26-09-2011;22-01-2015
Alessandro Rossi;;Dipinti tra sguardo e pensiero. Studi attorno a Giorgione, Morazzone e Tiepolo;Martin Galinier,Giovanni Carlo Federico Villa;Galinier Martin,Villa Giovanni Carlo Federico;58928111,0807985;Perpignan;26403692;Histoire et histoire de l'art;enCours;02-11-2010;18-09-2013;;s57552;non;26-09-2011;12-04-2016
Johanna Schmid-burck;;Creation et troubles psychiques.;Serge Lesourd;Lesourd Serge;;Strasbourg;131056549;Psychologie;enCours;01-10-2004;22-09-2010;;s57946;non;26-09-2011;13-10-2014
Dorotea pereira De andrade (Santana);;La femme prostituee et le feminin : la prostitution dans la perspective de la question du feminin en psychanalyse;Serge Lesourd;Lesourd Serge;;Strasbourg;131056549;Psychanalyse;enCours;01-09-2004;22-06-2011;;s57947;non;26-09-2011;13-10-2014
Fouzia Seddaoui;;Les relations partenariales des directeurs d'ecole entre cooperation et conflit. Aspects professionnels et interculturels.;Aicha Maherzi;Maherzi Aicha;148505511;Toulouse 2;26403994;Sciences de l'education;enCours;01-10-2004;20-10-2011;;s57985;non;26-09-2011;05-04-2016
Nicolas Segeric;;Culture, lecture et sens des langages et objets de communication.;Alain-Alcide Sudre;Sudre Alain-Alcide;31019064;Montpellier 3;26404702;Sciences de l'art et esthetique;enCours;01-11-2005;;;s58368;non;26-09-2011;05-04-2016
Annabelle Sauvent;;Analyse economique du choix des modes de gestion de l'eau.;Olivier Bouba-Olga;Bouba-Olga Olivier;60384778;Poitiers;26403765;Sciences economiques;enCours;01-11-2005;;;s58377;non;26-09-2011;05-04-2016
Elizaveta Shkunaeva;;Usage du francais et des langues d'origine par des enfants migrants scolarises.;Philippe Blanchet;Blanchet Philippe;;Rennes 2;54447658;Sciences du langage;enCours;01-09-2005;;;s58423;non;26-09-2011;22-01-2015
Amelie Silvain;;Le role des fournisseurs d'acces et hebergeurs dans la regulation de l'internet.;Jacques Larrieu;Larrieu Jacques;32791100;Toulouse 1;26404354;Droit public;enCours;01-11-2005;;;s58449;non;26-09-2011;22-01-2015
Albert Zihalirwa cirimbaga;;Ambiguite et democratie dans la pensee politique de Maurice Merleau-Ponty;Hubert Faes,Sylvain Roux;Faes Hubert,Roux Sylvain;08569455X,;Poitiers;26403765;Philosophie politique et juridique;enCours;13-06-2011;;;s66016;non;26-09-2011;24-02-2012
Marie-emmanuelle Amara;;Rapports entre qualite de vie, employabilite et reussite dans le cadre du bachelor a l'universite du luxembourg;Jean-Marc Stebe,Michele Baumann;Stebe Jean-Marc,Baumann Michele;34129022;Universite de Lorraine;157040569;Sociologie;enCours;05-02-2007;;;s66607;non;26-09-2011;05-04-2016
Delphine Ackermann;;Aixone.recherches epigraphiques et archeologiques sur l'histoire d'un deme de l'attique.;Denis Knoepfler,Christophe Feyel;Knoepfler Denis,Feyel Christophe;26951371;Universite de Lorraine;157040569;Histoire ancienne;enCours;26-05-2009;;;s66623;non;26-09-2011;28-06-2013
Vania Almeida rego;;La mise en scene du 'je'dans l'oeuvre de jose luis peixoto,problematiques de l'ecriture de soi.;Anne-Yvonne Julien,Sandra Teixeira,Sergio Sousa;Julien Anne-Yvonne,Teixeira Sandra,Sousa Sergio;035484705,,;Poitiers;26403765;Etudes romanes;enCours;16-11-2009;20-11-2015;;s66627;non;26-09-2011;27-01-2016
Seyyedhesamoddin Seyyed-esfahani;;Le mineur en danger et la politique criminelle. Etude comparative France et Iran a la lumiere des instruments internationaux.;Sylvie Grunvald;Grunvald Sylvie;76594637;Nantes;26403447;Droit prive;enCours;01-10-2007;15-09-2015;;s59293;non;26-09-2011;04-04-2016
Dwi Setyowati;;Geopolitique de l'asie du sud est la defense nationale et regionale face aux groupes separatistes et aux mouvements islamistes radicaux.;Jean-Pierre Marichy;Marichy Jean-Pierre;59072385;Toulouse 1;26404354;Science politique;enCours;01-10-2007;;;s59723;non;26-09-2011;04-04-2016
Abdallah Saloumeh;;Des artistes du moyen orient developpant leur art video en europe;Francois Fossier;Fossier Francois;26870053;Lyon 2;02640334X;Histoire;enCours;06-01-2009;23-09-2011;;s59752;non;26-09-2011;30-03-2016
Claire Singer;;Vers un nouveau mode d'intervention et d'accompagnement psychologique des enfants (6-12 ans) en situation de vulnerabilite. application d'un modele (modele d'intervention psychologique, clavel, gaucher) au domaine de la sante psychique des enfants.;Jacques Gaucher,Beatrice Clavel;Gaucher Jacques,Clavel Beatrice;,;Lyon 2;02640334X;Psychologie;enCours;01-12-2008;01-02-2013;;s59760;non;26-09-2011;04-04-2016
Sherin Soliman;;Managing the negociator's dilemna : organizational and individual implications - Testing the negociation knowledge increase in intra-organizational negotiations.;Mathieu Detchessahar,Arnaud Stimec,Nicolas Antheaume;Detchessahar Mathieu,Stimec Arnaud,Antheaume Nicolas;121179753,069335923,;Nantes;26403447;Sciences de gestion;enCours;01-10-2008;12-12-2011;;s59794;non;26-09-2011;20-12-2011
Anne Szabo;;Ecriture feminine dans la fiction anglaise du xviii eme siecle;Anne Bandry-Scubbi;Bandry-Scubbi Anne;112230571;Mulhouse;26403250;Etudes anglophones;enCours;23-10-2007;;;s59796;non;26-09-2011;05-04-2016
Marie Suply;;Essai sur les rapports entre l'acte administratif unilateral et la duree;Mathieu Doat;Doat Mathieu;70707057;Brest;26403021;Droit public;enCours;20-07-2006;01-10-2010;;s58461;non;26-09-2011;06-11-2012
Maria Silea ghisa;;Etude comparatie entre les politiques territoriales en europe france et roumanie.;Jean-Baptiste Humeau;Humeau Jean-Baptiste;70415471;Angers;26402920;Geographie;enCours;01-10-2005;;;s58464;non;26-09-2011;05-04-2016
Ahmed Saadi;;Le role du juge dans la destruction du contrat en droit francais, maghrebins et des emirats arabes;Alain Pousson;Pousson Alain;30219795;Toulouse 1;26404354;Droit compare;enCours;01-10-2009;;;s60182;non;26-09-2011;22-01-2015
Remi Somprayrac;;Le principe de necessite en matiere fiscale;Vincent Dussart;Dussart Vincent;52197085;Toulouse 1;26404354;Droit public;enCours;01-10-2009;;;s60183;non;26-09-2011;22-01-2015
Oumy Sow;;Le developpement durable dans le cadre de l'onu;Batyah Sierpinski;Sierpinski Batyah;143466283;Universite de Lorraine;157040569;Droit public;enCours;06-11-2009;;;s60197;non;26-09-2011;28-06-2013
Adrien Sobera;;L'activite missiliere europeenne : logique, acteurs et evolutions;Bernard Labatut;Labatut Bernard;31939082;Toulouse 1;26404354;Science politique;enCours;01-11-2009;;;s60212;non;26-09-2011;22-01-2015
Marcelo Velarde;;La question de l'alterite et son evolution dans les philosophies de l'existence en argentine 1933 1971;Patrice Vermeren,Hugo Edgardo Biagini;Vermeren Patrice,Biagini Hugo Edgardo;028251873,02877518X;Paris 8;26403552;Philosophie (metaphysique, epistemologie, esthetique);enCours;08-10-2007;08-03-2012;;s67258;non;26-09-2011;04-04-2016
Maria Sousa duarte silva;;Analyse socio-economique des accords de peche entre le Cap-Vert et l'Union Europeenne;Jean Boncoeur;Boncoeur Jean;;Brest;26403021;Sciences economiques;enCours;18-10-2007;30-06-2014;;s60963;non;26-09-2011;08-02-2016
Hugues Soarez;;Etre agriculteur en france aujourd'hui. images et constructions identitaires des professionnels adherents et sympathisants de la confederation paysanne.;Bernard Charlery de La Masseliere;Charlery de La Masseliere Bernard;35555920;Toulouse 2;26403994;Geographie;enCours;01-10-2010;;;s60977;non;26-09-2011;04-04-2016
Farah Zaoui (Soulimane);;Le dialogue des cultures en mediterranee a travers l'expression orientaliste;Paul Siblot,Sabeha Benmansour;Siblot Paul,Benmansour Sabeha;31550215;Montpellier 3;26404702;Sciences du langage;enCours;19-01-2011;;;s61022;non;26-09-2011;22-01-2015
Aude Simonny-Jarrige;;Production et consommation de ceramique commune dans la partie occidentale du Delta Egyptien, du debut de l'epoque romaine a la conquete arabe;Pascale Ballet,Jean-Yves Empereur;Ballet Pascale,Empereur Jean-Yves;30162734,0287339;Poitiers;26403765;Archeologie;enCours;23-09-2010;;;s61024;non;26-09-2011;05-04-2016
Olivier Tapin;;Innovations en assurance sante : construction de garanties medicalisees sur le poste soins courants.;Bernard Couturier;Couturier Bernard;;Poitiers;26403765;Sciences economiques;enCours;01-03-2006;;;s61394;non;26-09-2011;22-01-2015
Issaka Taffa guisso;;La question du sujet chez descartes.;Jean-Louis Vieillard-Baron;Vieillard-Baron Jean-Louis;27184447;Poitiers;26403765;Philosophie (metaphysique, epistemologie, esthetique);enCours;01-11-2005;23-01-2010;;s61418;non;26-09-2011;04-04-2016
Khalid Touaji;;De l'economie intravertie a l'economie extravertie : role de la substitution a l'importation : etude comparative de cas dans le capitalisme sous developpe.;Philippe Norel;Norel Philippe;28618467;Poitiers;26403765;Sciences economiques;enCours;01-10-2005;;;s61453;non;26-09-2011;22-01-2015
Jean emmanuel Tossa;;Pouvoir local et decentralisation au benin.;Jean-Claude Lugan;Lugan Jean-Claude;02699769X;Toulouse 1;26404354;Sociologie;enCours;01-11-2005;;;s61454;non;26-09-2011;05-04-2016
Stephane Tralongo;;Les vues animees sur faust dans la cinematographie-attraction.;Martin Barnier;Barnier Martin;67740553;Lyon 2;02640334X;Etudes cinematographiques et audiovisuel;enCours;07-12-2006;21-11-2012;;s61840;non;26-09-2011;04-02-2013
Wiem Tarchouna;;La force obligatoire du contrat et la stabilite du rapport de travail entre le droit tunisien et le droit tunisien.;Alain Pousson;Pousson Alain;30219795;Toulouse 1;26404354;Droit prive;enCours;10-05-2007;;;s61848;non;26-09-2011;22-01-2015
Nahissatou Toumani;;Communautes de pratiques et entrepreneuriat : les cas des reprises - transmissions d'entreprises;Mohamed Bayad;Bayad Mohamed;07513280X;Universite de Lorraine;157040569;Sciences de gestion;enCours;16-01-2007;;;s61870;non;26-09-2011;28-06-2013
Claire Tancons;;Du parangole a la bacchanal : etude de l'influence du carnaval sur les arts visuels de la neo-amerique;Jean-marc Poinsot,Richard Schechner;Poinsot Jean-marc,Schechner Richard;,;Rennes 2;54447658;Histoire de l'art;enCours;01-11-2005;;;s61879;non;26-09-2011;22-01-2015
Guillaume Torre;;L'usage social des langues en corse;Georges Moracchini;Moracchini Georges;34999779;Corte;29473284;Sciences du langage;enCours;29-09-2006;;;s61885;non;26-09-2011;22-01-2015
Sabrina Teyssier;;Incitation et selection de la main d'oeuvre a travers les modes de remuneration a la performance.;Marie-Claire Villeval;Villeval Marie-Claire;29244730;Lyon 2;02640334X;Sciences economiques;enCours;01-04-2007;01-10-2008;;s61890;non;26-09-2011;30-03-2016
Julien Kohlmann;;Intensite du discours poetique : anarchitecture, structure et evenement.;Colette Camelin,Rachel Bouvet;Camelin Colette,Bouvet Rachel;50128701;Poitiers;26403765;Litteratures francaise et francophone;enCours;08-11-2007;;;s66960;non;26-09-2011;27-01-2012
Lilia Laamouri (Khrouf);;Vers une meilleure comprehension des reactions des internautes a l'atmosphere des sites web marchands : role de l'imagerie mentale.;Jean-francois Lemoine,Azza Frikha;Lemoine Jean-francois,Frikha Azza;,;Nantes;26403447;Sciences de gestion;enCours;01-10-2008;16-06-2012;;s66963;non;26-09-2011;04-04-2016
Sara Merlino;;Interagir dans la langue de l'autre : la gestion du plurilinguisme dans des interactions institutionnelles.;Lorenza Mondada,Carla Bazzanella;Mondada Lorenza,Bazzanella Carla;55053491;Lyon 2;02640334X;Sciences du langage;enCours;12-11-2007;15-06-2012;;s67036;non;26-09-2011;04-02-2013
